,0,1,2,3,4,5,6,7,8,9,10,11
122,6C:EC:EB:1F:F6:76_-82,6C:EC:EB:1F:F6:76_-82,6C:EC:EB:1F:F6:76_-82,6C:EC:EB:1F:F4:74_-59,6C:EC:EB:1F:F6:76_-82,,,,,,,
123,7C:66:9D:7B:2B:90_-66,7C:66:9D:7B:2B:90_-66,,,,,,,,,,
124,,,,,,,,,,,,
125,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F4:46_-78,,,,,,,,
126,7C:66:9D:7B:29:FA_-90,7C:66:9D:7B:29:FA_-90,,,,,,,,,,
127,7C:66:9D:7B:29:FA_-67,,,,,,,,,,,
128,7C:66:9D:7B:29:FB_-88,BC:6A:29:BE:31:57_-70,6C:EC:EB:1F:F6:24_-93,,,,,,,,,
129,6C:EC:EB:1F:FD:83_-71,6C:EC:EB:1F:FD:83_-71,7C:66:9D:7B:2B:9F_-67,6C:EC:EB:1F:FD:83_-71,6C:EC:EB:1F:FD:83_-70,,,,,,,
130,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,,,,,,,,,,
131,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,,,,,
132,7C:66:9D:7B:2B:90_-83,7C:66:9D:7B:2B:90_-83,,,,,,,,,,
133,BC:6A:29:BE:2F:76_-62,,,,,,,,,,,
134,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,,,,,,
135,6C:EC:EB:1F:F6:76_-70,6C:EC:EB:1F:F4:74_-82,6C:EC:EB:1F:F6:24_-80,6C:EC:EB:1F:F6:24_-80,,,,,,,,
136,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-72,7C:66:9D:7B:2B:90_-74,,,,,
137,,,,,,,,,,,,
138,BC:6A:29:BE:2F:76_-60,BC:6A:29:BE:2F:76_-60,,,,,,,,,,
139,BC:6A:29:BE:31:57_-90,BC:6A:29:BE:2F:23_-69,BC:6A:29:BE:2F:23_-69,7C:66:9D:7B:29:FB_-77,BC:6A:29:BE:2F:23_-69,BC:6A:29:BE:2F:23_-69,BC:6A:29:BE:2F:23_-69,BC:6A:29:BE:2F:23_-69,,,,
140,BC:6A:29:BE:2F:23_-72,6C:EC:EB:1F:FD:83_-83,6C:EC:EB:1F:FD:83_-85,,,,,,,,,
141,BC:6A:29:BE:2F:23_-62,BC:6A:29:BE:2F:23_-62,BC:6A:29:BE:2F:23_-62,7C:66:9D:7B:29:FB_-72,,,,,,,,
142,,,,,,,,,,,,
143,7C:66:9D:7B:29:FA_-78,,,,,,,,,,,
144,BC:6A:29:BE:31:57_-91,BC:6A:29:BE:31:57_-91,,,,,,,,,,
145,BC:6A:29:BE:2F:23_-65,,,,,,,,,,,
146,BC:6A:29:BE:2F:76_-77,BC:6A:29:BE:2F:76_-77,BC:6A:29:BE:2F:76_-77,,,,,,,,,
147,6C:EC:EB:1F:F4:46_-83,6C:EC:EB:1F:F6:26_-84,,,,,,,,,,
148,6C:EC:EB:1F:FD:83_-84,6C:EC:EB:1F:F4:46_-82,6C:EC:EB:1F:F4:46_-82,6C:EC:EB:1F:F4:46_-82,6C:EC:EB:1F:F4:46_-82,6C:EC:EB:1F:F4:46_-82,,,,,,
149,7C:66:9D:7B:2B:90_-72,,,,,,,,,,,
150,6C:EC:EB:1F:F6:26_-78,6C:EC:EB:1F:F6:26_-78,6C:EC:EB:1F:F6:65_-58,,,,,,,,,
151,7C:66:9D:7B:2B:90_-72,7C:66:9D:7B:2B:90_-72,7C:66:9D:7B:2B:90_-73,7C:66:9D:7B:2B:90_-72,,,,,,,,
152,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-76,,,,,
153,6C:EC:EB:1F:F4:74_-73,,,,,,,,,,,
154,BC:6A:29:BE:2F:23_-68,BC:6A:29:BE:2F:23_-68,BC:6A:29:BE:2F:23_-68,7C:66:9D:7B:29:FB_-74,7C:66:9D:7B:2B:9F_-93,BC:6A:29:BE:2F:23_-68,,,,,,
155,6C:EC:EB:1F:F6:65_-82,6C:EC:EB:1F:F6:65_-82,6C:EC:EB:1F:F6:65_-82,6C:EC:EB:1F:F6:65_-82,,,,,,,,
156,BC:6A:29:BE:2F:23_-68,,,,,,,,,,,
157,6C:EC:EB:1F:F4:46_-75,6C:EC:EB:1F:F4:46_-75,7C:66:9D:7B:2B:9F_-87,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F4:46_-75,6C:EC:EB:1F:F4:46_-75,6C:EC:EB:1F:F6:65_-76,6C:EC:EB:1F:F4:46_-75,,,,
158,7C:66:9D:7B:29:FB_-77,7C:66:9D:7B:29:FB_-77,7C:66:9D:7B:29:FB_-77,,,,,,,,,
159,BC:6A:29:BE:2F:76_-61,BC:6A:29:BE:2F:76_-61,BC:6A:29:BE:2F:76_-61,,,,,,,,,
160,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,7C:66:9D:7B:29:FB_-80,BC:6A:29:BE:31:57_-60,,,,,,,,
161,7C:66:9D:7B:2B:90_-88,7C:66:9D:7B:29:FB_-88,7C:66:9D:7B:29:FB_-88,7C:66:9D:7B:29:FB_-88,7C:66:9D:7B:29:FB_-88,,,,,,,
162,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:29:FB_-96,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,6C:EC:EB:1F:F4:74_-68,7C:66:9D:7B:2B:9F_-74,,,,
163,7C:66:9D:7B:29:FA_-62,7C:66:9D:7B:29:FA_-62,7C:66:9D:7B:29:FA_-62,7C:66:9D:7B:29:FA_-62,7C:66:9D:7B:29:FA_-62,,,,,,,
